;mCPUE;bootstrapMean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd
1;0;0;0;0;0;0;0;0
2;11.01655296;10.17916542;10.0017137;4.352334911;17.8147679;2.241216087;2.241216087;3.471110418
3;1.645887639;6.331931923;5.002146124;0.945922478;20.03624149;0.296531405;0.296531405;4.872833
4;6.057656727;10.69389261;10.3623174;5.380066653;17.20974054;4.435172674;4.435172674;3.08505164
5;2.728191962;1.276436832;1.104011256;0.415728767;2.849776108;0.294207263;0.294207263;0.770934273
6;1.190062843;0.53645608;0.512651128;0.158149538;1.067445216;0.064638269;0.064638269;0.246185592
7;0.085553152;0.173222204;0.146301529;0;0.515270749;0;0;0.145572091
8;0.091870779;0.08033902;0.059452446;0;0.251538457;0;0.052495277;0.074641009
9;0;0.030244786;0;0;0.152524003;0;0.052201412;0.04324926
10;0.477276191;0.330472227;0.250021704;0.037135165;1.131568804;0;0;0.338591462
11;0;0;0;0;0;0;0;0
12;10.63590486;10.28817738;9.902960958;4.944071084;16.77377455;2.851701307;2.851701307;3.074802648
13;5.013950861;6.637229747;5.286276836;1.337514206;17.42539053;0.722275491;0.722275491;4.563040832
14;7.158533933;10.5459501;10.25936821;6.370240906;15.52132805;4.304074967;4.304074967;2.399455219
15;1.909454815;1.223318374;1.04858418;0.417271013;2.832454496;0.291851103;0.291851103;0.649894367
16;0.759566155;0.529197304;0.51132007;0.213303867;0.924380682;0.144926681;0.144926681;0.185951921
17;0.213852349;0.151660227;0.127935991;0.017400471;0.442841033;0;0;0.109670278
18;0.020579693;0.080067583;0.070068954;0;0.240853377;0;0.014408148;0.064803493
19;0;0.028674938;0.020880565;0;0.125993264;0;0.02391825;0.037332502
20;0.305317575;0.3659889;0.261989359;0.074946534;1.521922293;3.04402E-15;0.000188208;0.394107788
21;0;0;0;0;0;0;0;0
22;8.096363875;10.31776421;10.01098085;5.377280592;16.33340214;3.647427578;3.647427578;2.858979513
23;3.879818658;6.859048738;5.820618104;1.690474854;15.83821965;0.741019603;0.741019603;3.947694311
24;6.908985772;10.73553237;10.67214069;6.483381786;15.14955558;4.670231014;4.670231014;2.358355798
25;1.097458869;1.251217198;1.092756869;0.498808916;2.634860504;0.364227385;0.364227385;0.605957354
26;0.62173881;0.520305927;0.502372219;0.262113945;0.89264551;0.201814762;0.201814762;0.164919285
27;0.243874595;0.161506657;0.141734642;0.025475333;0.418647817;0.008700235;0.008700235;0.098176381
28;0.077935592;0.084818279;0.077401613;0;0.23609013;0;0;0.062380958
29;0.008700235;0.02907396;0.020880565;0;0.098539402;0;0.016727515;0.029273203
30;0.347311103;0.335701443;0.272390931;0.099867026;0.88262902;0.049513554;0.049513554;0.271798875
31;0;0;0;0;0;0;0;0
32;9.819139756;10.40465516;10.2617001;6.944961873;14.65300724;5.420612221;5.420612221;2.027128389
33;12.60183681;7.096771181;6.723293304;2.639736442;13.77949882;1.259213739;1.259213739;2.919667343
34;11.5171884;10.80770941;10.62023641;7.358071003;14.87307813;5.403137351;5.403137351;1.898848625
35;0.752171932;1.047081608;0.895315379;0.566811521;1.998333368;0.285239242;0.285239242;0.421798248
36;0.429437039;0.488933159;0.489633837;0.269799718;0.70951641;0.182755327;0.182755327;0.109659646
