;Year;Quarter;Bootstrap;ALK;age;mCPUE;boostrapMean;median;Q025;Q975;L;U;sd;RSE;Width CI-95
1;2018;Q1;ICES-IBTS;area based;0;0;0;0;0;0;0;0;0;#N/A;0
2;2018;Q1;ICES-IBTS;area based;1;0,856720011;0,950456217;0,929134202;0,626676155;1,382946614;0,512359751;1,180435032;0,193906908;0,226336382;0,668075281
3;2018;Q1;ICES-IBTS;area based;2;6,626177314;7,051177312;6,770500877;4,722397556;11,5228809;4,646925199;11,04902059;1,736052793;0,261999145;6,402095393
4;2018;Q1;ICES-IBTS;area based;3;1,810911828;1,582529515;1,556069769;1,037263245;2,255918906;1,427751678;2,659895995;0,312976978;0,172828391;1,232144317
5;2018;Q1;ICES-IBTS;area based;4;1,702463489;1,317542206;1,291348746;0,638917887;2,064169833;1,346153948;2,600560952;0,363893962;0,213745531;1,254407003
6;2018;Q1;ICES-IBTS;area based;5;0,80752737;0,657335085;0,645727437;0,407833906;0,971307115;0,679491623;1,233732506;0,144649864;0,179126887;0,554240883
7;2018;Q1;ICES-IBTS;area based;6+;1,022491997;0,807448192;0,759258234;0,35949566;1,502070851;0,632680612;1,880704596;0,294224699;0,287752569;1,248023984
8;2018;Q1;Modified-ICES;area based;0;0;0;0;0;0;0;0;0;#N/A;0
9;2018;Q1;Modified-ICES;area based;1;0,856720011;0,908267654;0,906219952;0,673706446;1,154374749;0,580547272;1,030166307;0,120370758;0,140501863;0,449619035
10;2018;Q1;Modified-ICES;area based;2;6,626177314;6,707159937;6,680792815;5,171749333;8,863698237;5,139963184;8,793829881;0,959355105;0,144782589;3,653866697
11;2018;Q1;Modified-ICES;area based;3;1,810911828;1,736379686;1,719227524;1,45812046;2,057263137;1,593764026;2,19569373;0,152955733;0,084463379;0,601929704
12;2018;Q1;Modified-ICES;area based;4;1,702463489;1,497838023;1,497654907;0,955469239;2,057921344;1,27000409;2,188220357;0,292755936;0,171960185;0,918216267
13;2018;Q1;Modified-ICES;area based;5;0,80752737;0,714856427;0,715429459;0,475779162;0,962087551;0,618370012;1,0496936;0,130287064;0,161340741;0,431323588
14;2018;Q1;Modified-ICES;area based;6+;1,022491997;0,837633566;0,848381885;0,370800422;1,305476345;0,653190007;1,337783263;0,258466707;0,252781154;0,684593255
15;2018;Q1;Stratified;haul based;0;0;0;0;0;0;0;0;0;#N/A;0
