Code;Description;Relation
32F1;Southern North Sea;Related
32F2;Southern North Sea;Related
32F3;Southern North Sea;Related
33F3;Southern North Sea;Related
33F4;Southern North Sea;Related
34F2;Southern North Sea;Related
34F3;Southern North Sea;Related
34F4;Southern North Sea;Related
35F1;Southern North Sea;Related
35F2;Southern North Sea;Related
35F3;Southern North Sea;Related
35F4;Southern North Sea;Related
36F0;Central North Sea;Related
36F1;Central North Sea;Related
36F2;Central North Sea;Related
36F3;Central North Sea;Related
36F4;Central North Sea;Related
36F5;Central North Sea;Related
36F6;Central North Sea;Related
36F7;Central North Sea;Related
37F0;Central North Sea;Related
37F1;Central North Sea;Related
37F2;Central North Sea;Related
37F3;Central North Sea;Related
37F4;Central North Sea;Related
37F5;Central North Sea;Related
37F6;Central North Sea;Related
37F7;Central North Sea;Related
38E9;Central North Sea;Related
38F0;Central North Sea;Related
38F1;Central North Sea;Related
38F2;Central North Sea;Related
38F3;Central North Sea;Related
38F4;Central North Sea;Related
38F5;Central North Sea;Related
38F6;Central North Sea;Related
38F7;Central North Sea;Related
39E8;Central North Sea;Related
39E9;Central North Sea;Related
39F0;Central North Sea;Related
39F1;Central North Sea;Related
39F2;Central North Sea;Related
39F3;Central North Sea;Related
39F4;Central North Sea;Related
39F5;Central North Sea;Related
39F6;Central North Sea;Related
39F7;Central North Sea;Related
40E8;Central North Sea;Related
40E9;Central North Sea;Related
40F0;Central North Sea;Related
40F1;Central North Sea;Related
40F2;Central North Sea;Related
40F3;Central North Sea;Related
40F4;Central North Sea;Related
40F5;Central North Sea;Related
40F6;Central North Sea;Related
40F7;Central North Sea;Related
41E7;Central North Sea;Related
41E8;Central North Sea;Related
41E9;Central North Sea;Related
41F0;Central North Sea;Related
41F1;Central North Sea;Related
41F2;Central North Sea;Related
41F3;Central North Sea;Related
41F4;Central North Sea;Related
41F5;Central North Sea;Related
41F6;Central North Sea;Related
41F7;Central North Sea;Related
42E7;Central North Sea;Related
42E8;Central North Sea;Related
42E9;Central North Sea;Related
42F0;Central North Sea;Related
42F1;Central North Sea;Related
42F2;Central North Sea;Related
42F3;Central North Sea;Related
42F4;Central North Sea;Related
42F5;Central North Sea;Related
42F6;Central North Sea;Related
42F7;Central North Sea;Related
43E8;Central North Sea;Related
43E9;Central North Sea;Related
43F0;Central North Sea;Related
43F1;Central North Sea;Related
43F2;Central North Sea;Related
43F3;Central North Sea;Related
43F4;Central North Sea;Related
43F5;Central North Sea;Related
43F6;Central North Sea;Related
43F7;Central North Sea;Related
43F8;Related;
44E6;Northern North Sea;Related
44E7;Northern North Sea;Related
44E8;Northern North Sea;Related
44E9;Northern North Sea;Related
44F0;Northern North Sea;Related
44F1;Northern North Sea;Related
44F2;Northern North Sea;Related
44F3;Northern North Sea;Related
44F4;Northern North Sea;Related
44F5;Northern North Sea;Related
44F8;Related;
44F9;Related;
44G0;Related;
44G1;Related;
45E6;Northern North Sea;Related
45E7;Northern North Sea;Related
45E8;Northern North Sea;Related
45E9;Northern North Sea;Related
45F0;Northern North Sea;Related
45F1;Northern North Sea;Related
45F2;Northern North Sea;Related
45F3;Northern North Sea;Related
45F4;Northern North Sea;Related
45F9;Related;
45G0;Related;
46E7;Northern North Sea;Related
46E8;Northern North Sea;Related
46E9;Northern North Sea;Related
46F0;Northern North Sea;Related
46F1;Northern North Sea;Related
46F2;Northern North Sea;Related
46F3;Northern North Sea;Related
46G0;Related;
47E7;Northern North Sea;Related
47E8;Northern North Sea;Related
47E9;Northern North Sea;Related
47F0;Northern North Sea;Related
47F1;Northern North Sea;Related
47F2;Northern North Sea;Related
47F3;Northern North Sea;Related
48E7;Northern North Sea;Related
48E8;Northern North Sea;Related
48E9;Northern North Sea;Related
48F0;Northern North Sea;Related
48F1;Northern North Sea;Related
48F2;Northern North Sea;Related
48F3;Northern North Sea;Related
49E7;Northern North Sea;Related
49E8;Northern North Sea;Related
49E9;Northern North Sea;Related
49F0;Northern North Sea;Related
49F1;Northern North Sea;Related
49F2;Northern North Sea;Related
49F3;Northern North Sea;Related
50E8;Northern North Sea;Related
50E9;Northern North Sea;Related
50F0;Northern North Sea;Related
50F1;Northern North Sea;Related
50F2;Northern North Sea;Related
50F3;Northern North Sea;Related
51E9;Northern North Sea;Related
51F0;Northern North Sea;Related
51F1;Northern North Sea;Related
51F2;Northern North Sea;Related
52F0;Northern North Sea;Related
52F1;Northern North Sea;Related
52F2;Northern North Sea;Related
