Survey,Year,Quarter,Area,SubArea,AphiaID,Species,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
NS-IBTS,2012,1,1,44F0,126417,Clupea harengus,0.0000,0.0000,8.1301,17.3193,1.0529,1.4976,,,,,,20170922
NS-IBTS,2012,1,1,44F0,126425,Sprattus sprattus,0.0000,0.0105,0.8737,0.1158,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,44F0,126436,Gadus morhua,0.0000,0.0000,3.5260,2.4740,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,44F0,126437,Melanogrammus aeglefinus,0.0000,11.4652,261.8719,915.2723,34.8902,10.9587,14.5416,,,,,20170922
NS-IBTS,2012,1,1,44F0,126438,Merlangius merlangus,0.0000,98.7234,465.5612,211.6688,65.4484,10.7355,6.3629,,,,,20170922
NS-IBTS,2012,1,1,44F0,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,44F0,126444,Trisopterus esmarkii,0.0000,1898.4505,238.2492,143.3881,12.7304,0.0909,0.0909,,,,,20170922
NS-IBTS,2012,1,1,44F0,127023,Scomber scombrus,0.0000,0.0000,0.0000,0.4000,0.3000,0.1000,0.2000,,,,,20170922
NS-IBTS,2012,1,1,44F0,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,2.5111,5.2361,3.8341,0.6500,2.2516,2.6829,1.6758,4.1583,20170922
NS-IBTS,2012,1,1,44F1,126417,Clupea harengus,0.0000,1.0000,163.2487,359.2527,27.0628,33.4357,,,,,,20170922
NS-IBTS,2012,1,1,44F1,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,44F1,126436,Gadus morhua,0.0000,0.3214,3.3929,1.2857,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,44F1,126437,Melanogrammus aeglefinus,0.0000,0.5000,259.0517,1058.4606,53.3306,22.4145,23.2427,,,,,20170922
NS-IBTS,2012,1,1,44F1,126438,Merlangius merlangus,0.0000,11.0753,204.2161,70.2795,23.0536,4.8517,2.5238,,,,,20170922
NS-IBTS,2012,1,1,44F1,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,44F1,126444,Trisopterus esmarkii,0.0000,329.5601,115.2821,178.6898,10.1043,0.1818,0.1818,,,,,20170922
NS-IBTS,2012,1,1,44F1,127023,Scomber scombrus,0.0000,5.0000,3.0000,0.4000,0.3000,0.1000,0.2000,,,,,20170922
NS-IBTS,2012,1,1,44F1,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.8857,2.0825,2.9651,0.2000,0.6333,0.4000,0.3111,0.5222,20170922
NS-IBTS,2012,1,1,45F0,126417,Clupea harengus,0.0000,0.0000,2.2793,31.9983,3.6190,4.1034,,,,,,20170922
NS-IBTS,2012,1,1,45F0,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F0,126436,Gadus morhua,0.0000,0.1429,1.2857,0.5714,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F0,126437,Melanogrammus aeglefinus,0.0000,0.0000,2.0252,24.6244,3.6445,1.5184,2.1874,,,,,20170922
NS-IBTS,2012,1,1,45F0,126438,Merlangius merlangus,0.0000,8.0909,41.5054,67.7892,37.7351,8.6084,6.2711,,,,,20170922
NS-IBTS,2012,1,1,45F0,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F0,126444,Trisopterus esmarkii,0.0000,2783.0985,140.4179,160.0520,11.8862,0.2727,0.2727,,,,,20170922
NS-IBTS,2012,1,1,45F0,127023,Scomber scombrus,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F0,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F1,126417,Clupea harengus,0.0000,0.0000,72.6888,312.7373,44.1285,107.4454,,,,,,20170922
NS-IBTS,2012,1,1,45F1,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F1,126436,Gadus morhua,0.0000,0.2500,3.8195,2.6045,2.1260,0.2000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F1,126437,Melanogrammus aeglefinus,0.0000,0.0000,37.2456,176.1095,11.8530,5.0662,5.7256,,,,,20170922
NS-IBTS,2012,1,1,45F1,126438,Merlangius merlangus,0.0000,23.0723,155.9155,98.7722,40.2992,7.5442,4.3966,,,,,20170922
NS-IBTS,2012,1,1,45F1,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F1,126444,Trisopterus esmarkii,0.0000,2922.2394,625.8782,804.2697,49.6582,2.2273,2.2273,,,,,20170922
NS-IBTS,2012,1,1,45F1,127023,Scomber scombrus,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,1.0000,,,,,20170922
