YearID;Year;Quarter;Country;Catch;Percent_All_hauls;Total_Hauls_Cod;Hauls_age_Cod;Hauls_length_Cod;Catch_rate
12.3.2018;2018;Q3;DEN;51;3.5;53;17;17;0.96
14.3.2018;2018;Q1;DEN;121;7.6;49;28;28;2.47
19.7.2018;2018;Q3;ENG;446;30.6;75;44;45;5.95
13.3.2018;2018;Q1;FRA;29;1.8;60;17;25;0.48
12.3.2018;2018;Q3;GFR;20;1.4;31;5;5;0.65
15.3.2018;2018;Q1;GFR;100;6.3;44;24;24;2.27
12.3.2018;2018;Q1;NED;35;2.2;55;19;19;0.64
12.3.2018;2018;Q3;NOR;283;19.4;48;41;41;5.90
16.3.2018;2018;Q1;NOR;189;11.8;52;40;40;3.63
12.3.2018;2018;Q3;SCO;500;34.3;94;63;67;5.32
17.3.2018;2018;Q1;SCO;732;45.9;57;56;56;12.84
12.3.2018;2018;Q3;SWE;156;10.7;45;25;25;3.47
18.3.2018;2018;Q1;SWE;390;24.4;46;45;45;8.48
20.3.2017;2017;Q3;DEN;108;4;50;23;23;2.16
25.3.2017;2017;Q1;DEN;104;4.2;43;30;32;2.42
19.3.2017;2017;Q3;ENG;735;31.4;73;55;56;10.07
30.3.2017;2017;Q1;FRA;44;1.8;61;17;26;0.72
21.3.2017;2017;Q3;GFR;28;1.2;32;5;5;0.88
26.3.2017;2017;Q1;GFR;444;17.8;73;67;68;6.08
31.3.2017;2017;Q1;NED;193;7.7;55;40;41;3.51
22.3.2017;2017;Q3;NOR;395;16.3;56;53;53;7.05
27.3.2017;2017;Q1;NOR;249;10;40;36;36;6.23
23.3.2017;2017;Q3;SCO;693;28.6;76;57;57;9.12
28.3.2017;2017;Q1;SCO;759;30.4;58;56;56;13.09
24.3.2017;2017;Q3;SWE;462;10.1;45;43;43;10.27
29.3.2017;2017;Q1;SWE;708;28.3;47;47;47;15.06
2.4.2016;2016;Q3;DEN;27;1.5;59;14;17;0.46
7.4.2016;2016;Q1;DEN;60;2.9;41;21;21;1.46
1.4.2016;2016;Q3;ENG;414;23.1;78;37;38;5.31
12.4.2016;2016;Q1;FRA;52;2.5;64;27;33;0.81
3.4.2016;2016;Q3;GFR;23;1.3;33;6;6;0.70
8.4.2016;2016;Q1;GFR;152;7.4;48;27;28;3.17
13.4.2016;2016;Q1;NED;89;4.4;51;28;29;1.75
4.4.2016;2016;Q3;NOR;403;22.5;67;59;61;6.01
9.4.2016;2016;Q1;NOR;327;16;53;44;44;6.17
5.4.2016;2016;Q3;SCO;509;28.4;99;71;71;5.14
10.4.2016;2016;Q1;SCO;579;28.3;57;51;51;10.16
6.4.2016;2016;Q3;SWE;417;23.3;45;37;37;9.27
11.4.2016;2016;Q1;SWE;785;38.4;46;45;45;17.07
15.4.2015;2015;Q3;DEN;118;5.8;59;21;24;2.00
20.4.2015;2015;Q1;DEN;160;5.6;46;37;37;3.48
14.4.2015;2015;Q3;ENG;448;21.8;76;39;39;5.89
25.4.2015;2015;Q1;FRA;306;10.6;83;54;58;3.69
16.4.2015;2015;Q3;GFR;21;1;33;5;5;0.64
21.4.2015;2015;Q1;GFR;334;11.6;69;48;48;4.84
26.4.2015;2015;Q1;NED;157;5.5;44;34;34;3.57
17.4.2015;2015;Q3;NOR;309;15.1;48;40;42;6.44
22.4.2015;2015;Q1;NOR;483;16.8;39;32;32;12.38
18.4.2015;2015;Q3;SCO;515;25.1;91;63;63;5.66
23.4.2015;2015;Q1;SCO;601;20.9;53;50;50;11.34
19.4.2015;2015;Q3;SWE;640;31.2;45;41;42;14.22
24.4.2015;2015;Q1;SWE;836;29.1;46;46;46;18.17
