;Year;Quarter;ALK_area;Otolith_1cm;age;mean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd;cv
1;2015;Q1;area based;1;0;0;0;0;0;0;0;0;#N/A
2;2015;Q1;area based;1;1;3.789244019;3.782646881;3.009740605;4.572616699;2.618977226;3.633547553;0.420474164;0.110965185
3;2015;Q1;area based;1;2;10.80269897;10.77508444;8.52369377;13.12477108;8.098797962;12.82105944;1.240220648;0.114806554
4;2015;Q1;area based;1;3;5.306012843;5.276744352;4.400483598;6.305208642;4.126563375;5.983955037;0.483590626;0.091140116
5;2015;Q1;area based;1;4;1.933481857;1.935737685;1.495166201;2.412489864;1.442764729;2.331895017;0.238931812;0.123575927
6;2015;Q1;area based;1;5;0.712815047;0.701908132;0.459292338;0.993430331;0.418700098;0.916847749;0.138706278;0.194589436
7;2015;Q1;area based;1;6+;0.651365417;0.636266863;0.381726001;0.965903063;0.337697704;0.812279981;0.155415756;0.238599951
8;2015;Q1;area based;2;0;0;0;0;0;0;0;0;#N/A
9;2015;Q1;area based;2;1;3.788920064;3.779923341;2.944660594;4.663059426;2.588769036;3.65129749;0.449926172;0.118747866
10;2015;Q1;area based;2;2;10.74532097;10.78623565;8.306345002;13.03513206;7.948517503;12.66351464;1.265664916;0.117787539
11;2015;Q1;area based;2;3;5.316098219;5.314409614;4.293790442;6.455377735;3.998658308;6.058806414;0.540811726;0.101730951
12;2015;Q1;area based;2;4;1.923801715;1.911275326;1.400044071;2.491523836;1.370402144;2.460141919;0.289991052;0.150738535
13;2015;Q1;area based;2;5;0.712295684;0.696896981;0.464017597;1.032195114;0.417064267;0.953555142;0.152558743;0.214178952
14;2015;Q1;area based;2;6+;0.662540298;0.65566556;0.377500968;0.979955697;0.33133454;0.795468064;0.157919998;0.23835531
15;2015;Q1;area based;3;0;0;0;0;0;0;0;0;#N/A
16;2015;Q1;area based;3;1;3.805018846;3.812026965;2.964230018;4.671103357;2.68043368;3.627955329;0.440204086;0.115690383
17;2015;Q1;area based;3;2;10.8415036;10.84654756;8.338353121;13.2012174;7.946201328;12.82165167;1.264547277;0.116639474
18;2015;Q1;area based;3;3;5.341212874;5.352847879;4.274791861;6.572724323;4.023780088;5.982552106;0.559372899;0.104727692
19;2015;Q1;area based;3;4;1.949218554;1.939765981;1.396096429;2.558454859;1.305430364;2.335283148;0.296841862;0.152287624
20;2015;Q1;area based;3;5;0.723024816;0.715326164;0.442198514;1.085139899;0.406865737;0.974316749;0.168401311;0.232912214
21;2015;Q1;area based;3;6+;0.653418455;0.652894934;0.376706973;0.977524385;0.296158032;0.802326668;0.159789624;0.244544094
22;2015;Q1;area based;4;0;0;0;0;0;0;0;0;#N/A
23;2015;Q1;area based;4;1;3.783063777;3.774730564;2.938203597;4.636106772;2.482669552;3.643643306;0.429269682;0.113471437
24;2015;Q1;area based;4;2;10.70711644;10.70708537;8.460399658;13.21481273;8.348839432;12.90605408;1.246815568;0.116447372
25;2015;Q1;area based;4;3;5.321174684;5.295684794;4.28213651;6.513820678;4.046778684;6.190497642;0.601182208;0.112979228
26;2015;Q1;area based;4;4;1.924259737;1.925449416;1.339095504;2.54272463;1.291385706;2.472809562;0.301236864;0.156546883
27;2015;Q1;area based;4;5;0.721987463;0.705398527;0.400383156;1.120181659;0.363828537;1.057812331;0.182039023;0.252135989
28;2015;Q1;area based;4;6+;0.63841437;0.6321588;0.333714163;0.990380211;0.296711152;0.862583993;0.169035603;0.26477412
29;2015;Q1;area based;5;0;0;0;0;0;0;0;0;#N/A
30;2015;Q1;area based;5;1;3.773588555;3.780936053;3.014125832;4.531984302;2.543940863;3.557535563;0.412178813;0.10922728
31;2015;Q1;area based;5;2;10.68498683;10.58887093;8.526803145;13.30390144;8.422176594;13.23098309;1.292443934;0.12095887
32;2015;Q1;area based;5;3;5.217606163;5.160342022;4.081277935;6.540477409;3.975779639;6.325278883;0.620165647;0.118860188
33;2015;Q1;area based;5;4;1.957356589;1.947274796;1.314536328;2.637946441;1.275154459;2.594751902;0.338330921;0.172850937
34;2015;Q1;area based;5;5;0.712029561;0.696373474;0.413391279;1.082946294;0.399466288;1.057667254;0.179262082;0.251762134
35;2015;Q1;area based;5;6+;0.645442626;0.638247097;0.328234481;0.984421821;0.280458391;0.876961006;0.181556681;0.281290193
36;2016;Q1;area based;1;0;0;0;0;0;0;0;0;#N/A
37;2016;Q1;area based;1;1;1.402623288;1.398872179;1.140838354;1.669341977;1.198703489;1.737234519;0.141205463;0.100672408
38;2016;Q1;area based;1;2;4.023389622;3.978362509;2.890110476;5.514084769;3.008321578;5.786373295;0.706410288;0.175575908
39;2016;Q1;area based;1;3;5.959770718;5.955600869;4.946724926;6.935076104;5.186561971;7.114674127;0.524604818;0.088024329
40;2016;Q1;area based;1;4;2.680944678;2.67096;2.181259488;3.2718532;2.199855789;3.341746266;0.285620774;0.106537362
41;2016;Q1;area based;1;5;0.984515571;0.985840756;0.783772641;1.201610823;0.751102541;1.137877665;0.10237695;0.103987132
42;2016;Q1;area based;1;6+;0.632160032;0.632528507;0.44719026;0.814488853;0.501971204;0.847859636;0.096607834;0.152821801
43;2016;Q1;area based;2;0;0;0;0;0;0;0;0;#N/A
44;2016;Q1;area based;2;1;1.39073097;1.388013484;1.118574373;1.675224782;1.203288025;1.754799401;0.14053687;0.101052521
45;2016;Q1;area based;2;2;4.040725649;4.034621157;2.765829613;5.597831939;2.840134164;5.71175392;0.750028986;0.185617399
46;2016;Q1;area based;2;3;5.953286778;5.927041697;4.955680667;7.070939592;5.251672103;7.286328783;0.555613027;0.093328786
47;2016;Q1;area based;2;4;2.675061362;2.653481891;2.115525596;3.241675786;2.208170486;3.354411607;0.293485505;0.109711691
48;2016;Q1;area based;2;5;0.972182408;0.969208106;0.747550186;1.21491476;0.703445581;1.159787921;0.123581092;0.127117186
49;2016;Q1;area based;2;6+;0.636333425;0.635188965;0.429848686;0.839285739;0.471248207;0.892622135;0.105099803;0.165164674
50;2016;Q1;area based;3;0;0;0;0;0;0;0;0;#N/A
51;2016;Q1;area based;3;1;1.395055115;1.395481121;1.138459218;1.676647837;1.191749356;1.733943658;0.142527336;0.102166097
52;2016;Q1;area based;3;2;4.041991649;3.991875857;2.88934427;5.456209559;2.9548045;5.558441186;0.67993065;0.168216738
53;2016;Q1;area based;3;3;5.917626127;5.934534029;4.896709613;6.922011151;5.147806332;7.161927205;0.550389363;0.093008472
54;2016;Q1;area based;3;4;2.701425075;2.688967323;2.148056944;3.338717862;2.189491435;3.417784789;0.296314906;0.109688368
55;2016;Q1;area based;3;5;0.984398899;0.967441841;0.7469135;1.254176521;0.729650827;1.240438406;0.135189069;0.137331593
56;2016;Q1;area based;3;6+;0.621851084;0.621824921;0.436773676;0.832961455;0.480742059;0.877799217;0.10753034;0.17291976
57;2016;Q1;area based;4;0;0;0;0;0;0;0;0;#N/A
58;2016;Q1;area based;4;1;1.3991439;1.395918794;1.112669301;1.665126809;1.167404559;1.7041063;0.145012907;0.103644026
59;2016;Q1;area based;4;2;4.111692012;4.117726893;2.844777518;5.575083188;2.76106036;5.460133979;0.718608609;0.174771993
60;2016;Q1;area based;4;3;5.964641292;5.903382395;4.839451773;7.06675688;5.244304459;7.452865616;0.554629646;0.092986253
61;2016;Q1;area based;4;4;2.694645046;2.713508923;2.091497735;3.289899893;2.126808553;3.330674152;0.317181168;0.117707959
62;2016;Q1;area based;4;5;0.998227322;0.982049517;0.749359687;1.315045785;0.657032451;1.178501246;0.145558849;0.145817336
